datum,hodnota
1990,675408
1991,873303
1992,980577
1993,1205330
1994,1375851
1995,1596306
1996,1829255
1997,1971024
1998,2156624
1999,2252983
2000,2386289
2001,2579126
2002,2690982
2003,2823452
2004,3079207
2005,3285601
2006,3530881
2007,3859533
2008,4042860
2009,3954320
2010,3992870
2011,4062323
2012,4088912
2013,4142811
2014,4345766
2015,4625378
2016,4796873
2017,5110743
2018,5410761
2019,5791498
2020,5709131
2021,6108717
2022,6786742
2023,7332987
